Game 351: Score = 1012, Max Tile = 128, Time = 0.0323 seconds
Game 352: Score = 732, Max Tile = 64, Time = 0.0214 seconds
Game 353: Score = 556, Max Tile = 64, Time = 0.0146 seconds
Game 354: Score = 560, Max Tile = 64, Time = 0.0164 seconds
Game 355: Score = 540, Max Tile = 64, Time = 0.0174 seconds
Game 356: Score = 924, Max Tile = 64, Time = 0.0193 seconds
Game 357: Score = 2772, Max Tile = 256, Time = 0.0578 seconds
Game 358: Score = 1392, Max Tile = 128, Time = 0.0335 seconds
Game 359: Score = 1908, Max Tile = 128, Time = 0.0409 seconds
Game 360: Score = 1272, Max Tile = 128, Time = 0.0408 seconds
Game 361: Score = 1540, Max Tile = 128, Time = 0.0274 seconds
Game 362: Score = 1432, Max Tile = 128, Time = 0.0362 seconds
Game 363: Score = 1464, Max Tile = 128, Time = 0.0388 seconds
Game 364: Score = 1244, Max Tile = 128, Time = 0.0274 seconds
Game 365: Score = 1236, Max Tile = 128, Time = 0.0210 seconds
Game 366: Score = 1312, Max Tile = 128, Time = 0.0336 seconds
Game 367: Score = 652, Max Tile = 64, Time = 0.0231 seconds
Game 368: Score = 856, Max Tile = 64, Time = 0.0348 seconds
Game 369: Score = 1360, Max Tile = 128, Time = 0.0319 seconds
Game 370: Score = 308, Max Tile = 32, Time = 0.0249 seconds
Game 371: Score = 624, Max Tile = 64, Time = 0.0176 seconds
Game 372: Score = 760, Max Tile = 64, Time = 0.0168 seconds
Game 373: Score = 696, Max Tile = 64, Time = 0.0474 seconds
Game 374: Score = 832, Max Tile = 64, Time = 0.0220 seconds
Game 375: Score = 524, Max Tile = 64, Time = 0.0121 seconds
Game 376: Score = 352, Max Tile = 32, Time = 0.0095 seconds
Game 377: Score = 1136, Max Tile = 128, Time = 0.0321 seconds
Game 378: Score = 1152, Max Tile = 128, Time = 0.0458 seconds
Game 379: Score = 1008, Max Tile = 64, Time = 0.0367 seconds
Game 380: Score = 1176, Max Tile = 128, Time = 0.0425 seconds
Game 381: Score = 1424, Max Tile = 128, Time = 0.0550 seconds
Game 382: Score = 604, Max Tile = 64, Time = 0.0225 seconds
Game 383: Score = 2516, Max Tile = 256, Time = 0.0702 seconds
Game 384: Score = 700, Max Tile = 64, Time = 0.0160 seconds
